schema_version,session_id,segment_id,check_id,authoritative_source,expected_value,observed_value,status,enters_horizon_selection
skhynix_stage_h0a_support_v1,jul30,segment_0001,anchor_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0001.csv.gz,48683,48683,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0001,anchor_ordering,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0001.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0001,anchor_native_boundary_mapping,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0001.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0001,anchor_h0a_structural_interval_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0001.csv.gz,48683,48683,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0002,anchor_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0002.csv.gz,33988,33988,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0002,anchor_ordering,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0002.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0002,anchor_native_boundary_mapping,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0002.csv.gz,true,true,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0002,anchor_h0a_structural_interval_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0002.csv.gz,33988,33988,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0003,anchor_count,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0003.csv.gz,40503,40503,pass,false
skhynix_stage_h0a_support_v1,jul30,segment_0003,anchor_ordering,/Users/liu/Documents/hftbacktest-0814t001-skhynix-episode-research/local_live_analysis/skhynix_trigger_aligned_episode_research_v1_stage04_jul30_episode_v3/anchors/segment_0003.csv.gz,true,true,pass,false
